Load #,Origin,Destination,PU Date,Rate,Weight \ pallet count \ FT,Broker
1068361,"FRESNO, CA","ROCKFORD, IL long crates PLAINVIEW, NY short",03/29/23,"$5,200.00","6pcs  9,718 Lb 11pcs",
53278362,ROCKLIN CA,LAUREL MD,3/28/2023 8:00:00 - ,$4.800.00,"16 PC 6,059LB",
540530,"American Canyon, CA","Lyndhurst, NJ",03/31/2023,"$4,300.00","12 pallets 36,720 lb",
458455,"Alameda, CA","Denver, CO Hebron, KY",3/31 @0700-1200,"$4,600.00","23plt/ 14,300 lb",
28909431,"American Canyon, CA","Ashland, VA",,"$4,000.00","13plts 25,142lbs",
8 - 00176047-0,"HAYWARD, CA","ST LOUIS, MO",03/31/2023 9:00 AM,$5.200.00,20.000LB,
4163416,"BENICIA, CA","DORAVILLE, GA ++ NORCROSS, GA ATLANTA, GA CHARLOTTE, NC",03-31-2023 14:00 - 1,$6.500.00,WINE,
38714,SPARKS NV,WASHINGTON IN,03/29/23 8:00-16:00,$3.000.00,23PLT 10.500LB,
38715,SPARKS NV,WASHINGTON IN,03/29/23 8:00-16:00,$3.000.00,24 PLT 10.000LB,
28909444,"American Canyon, CA","Apex, NC",3/31/23 08:00-15:00,"$4,095.75","22plts 33,441lbs",
28891253,"American Canyon, CA","Tampa, FL",3/29/23 8:00-15:00,$5.200.00,18plt/ 38.352 lb,
53338263,WOODLAND CA,CLEVELAND TN,3/31/2023 8:00:00 - ,$3.400.00,21 PLT 13250 LB,
28847330,"Lost Hills, CA","Aurora, IL",3/28/23 14:00,"$3,500.00","36plt/ 16,705lbs",
28906531,"San Leandro, CA","Independence, KY",3/28/23 07:00-14:00,"$3,451.77","15plts 22,272lbs",
15102,"Tracy, CA","Fort Polk, LA",3/28/23 Before 2pm!!,"$3,800.00","33plts 26,445lbs",
15104,"Tracy, CA","Fort Polk, LA",3/28/23 Before 2pm!!,"$3,800.00","27plts 20,660lbs",
141463,"San Leandro, CA","Raleigh, NC",3/28/23 08:00-15:00,"$4,500.00","26PC  5,000lbs",
28861857,"American Canyon, CA","Raleigh, NC++ / Raleigh, NC",3/29/23 08:00-15:00,"$4,500.00","16plts 34,320lbs",
Roma,"Sacramento,CA","Atlanta,GA",3/30/23,$750.00 cash on delivery,3 pallets,Roma
53303010,WOODLAND CA,CLEVELAND TN,3/29/2023 8:00:00 - ,$3.400.00,"24 PC 12,240LB",
31479-74966,"Sacramento, CA","NORCROSS, GA",03/29/2023 @ 0800-15,"$4,100.00","22 Skids 10,000 ib",
28905370,"American Canyon, CA","Lafayette, LA",3/30/23 07:00-14:00,"$2,945.00","11plts 23,628lbs",
03-5624964,FIREBAUGH CA,GRAND PRAIRIE TX,03/31/2023 9:00,$2.580.00,"18 PLT 12,083 lb",
0008 - 00176048,"HAYWARD, CA","ST LOUIS, MO",03/31/2023 11:00 AM,$350.00,20.000LB,
115526698,"WEST SACRAMENTO, CA","POTTSVILLE, PA",4/3/2023,$150.00,"13plt/  24,760 lbs",
03-5670066,GILROY CA,BATAVIA IL,4/14/2023 @9:00:00,$150.00,13 PLT 16.401 LB,
236587,"Windsor, CA","Downey, CA",4/3/2023 13:00,$950.00,42.000LB,
625290,"MERCED, CA","ELGIN, SC",04/04/2023 @ 1000,"$4,000.00","11 pallets 5,300 lb",
6525000,"RENO, NV","CHARLOTTE, NC",4/5/2023 APPT: 10:00,$3.900.00,"13 PLT 4,500 LB",
#28909448,"American Canyon, CA","Mills River, NC / Pineville, NC",04/05/2023 8:00-15:0,$4.500.00,"38,000lbs",
0008 - 00176637,"VISTA, CA","BRADENTON, FL",04/04/2023 6AM - 2:0,$8.000.00,17.000LB,
# 0140353,GILROY CA,ATLANTA GA,04/05/2023 @1200,"$4,200.00","12,308 Lb",
28935830,"Sparks, NV","Anderson, SC",4/5/23 12:00-14:00,"$3,800.00","32plts 14,000lbs",
60002092736,"BAKERSFIELD, CA","Romeoville, IL",4/7 @1000-1700,"$4,055.02","22plt/ 6,110 Lb",
28890384,"Watsonville, CA","Savannah, GA",4/5/23 14:00,"$4,001.00","13plts 25,115lbs",
#0023109,"Rodeo, CA","Sunbury, PA",4/6 @0800-1400,"$4,400.00","26plt/ 26,825 Lb",
53395035,"SOUTH SAN FRANCISCO, CA",NORTH BRUNSWICK NJ,4/6/2023 8:00:00 - 1,"$5,700.00",30 PLT  28020 LB,
28939146,"Woodland, CA","Hattiesburg, MS",4/7/23 14:00,"$3,200.00","53plt/ 7,512 lbs",
28909442,"American Canyon, CA","Wilmington, NC/Raleigh, NC",4/7/23 08;00-14:00,"$4,200.00","12plt/ 23,570lbs",
4029527,"West Sacramento, CA","Montgomery, NY",4/6/23 11:00 AM,"$4,200.00","10plts 18,478lbs",
#4031324,"West Sacramento,CA","Pittsburgh,PA","Apr 6, 2023 10:00",$4.400.00,12 plt 21971 lbs,
18395,LIVERMORE CA,LOCKPORT IL,4/4 @ by4pm,"$3,800.00","28plt/ 12,000 Lb",
03-5648882,"GILROY, CA","BATAVIA, IL",4/6/2023@ 9:00:00,$3.500.00,"13,620 lb 10 PLT",
#0238225,"Manteca, CA","Kenton, OH",4/5/23 9:00,"$3,500.00","7plts 3,647lbs",
28965732,"Watsonville, CA","Romeoville, IL",4/6/23 12:00 PM,"$3,000.00","18 plt  26,613lbs Body wash",
458446,"RENO, NV","DAVENPORT, IA",04/06/2023 8:00 AM,$3.700.00,3.000LB,
7898095,"GILROY, CA","HUNT VALLEY, MD",4/4 @1130,"$5,300.00","8 pallets 17,706Lb",
28947798,"Watsonville, CA","Suffolk, VA",4/3 @1600,"$4,500.00","12plt/ 12,903 Lb",
12108778***,"SACRAMENTO, CA","SANBURY, PA",4/5 @0700-1500,"$4,700.00","26plt/ 19,161 Lb",
6051791,"Terra Bella, CA","Center Valley, PA",4/3,4.456.50,"9plt/ 9,618 Lb",
879155,"OROVILLE, CA","CAMP HILL, PA",04/05/2023 @1400,"$4,500.00","26plt/ 23,300 Lb",
880396,"OROVILLE, CA","CAMP HILL, PA",04/06/2023 @ 1200-13,"$4,600.00","26 pallets 23,300 lb",
4030987,"West Sacramento, CA","Chesterfield, NH",4/6/23 10:00 AM,"$4,000.00","10plts 18,478lbs",
28914695,"Arbuckle, CA","Westampton, NJ",4/5/23 14:00,"$4,000.00","11plt/ 18,480lbs Vegetable Oil",
879281,"OROVILLE, CA","Camp Hill, PA",04/06/2023 @ 1400,"$4,600.00","26 pallets 23,300 lb",
20968,UNION CITY CA,WAKEFIELD MA,4/6 @1000,"$5,100.00","6,000 Lb",
123555****,"HUGHSON, CA","NAZARETH, PA",4/6 @1300,"$5,000.00","26plt/ 18,720 Lb",
53365640***,WOODLAND CA,YORK PA,4/4 @0800-1400,"$5,200.00","11plt/ 14,090 Lb",
1567363,"Milpitas, CA","Ashburn, VA",4/14 @1000,"$9,000.00","9 crates/ 20,800 Lb",
1068834,"FRESNO, CA","SPRINGDALE, AR*** AVON, MA",04/13/2023,"$5,000.00","1 pallet 3,570 lb 78x138 12 pallets 4,56",
26704587,"SANTA CLARA, CA HAYWARD, CA","EAST PROVIDENCE, RI  SALISBURY, MA  SACO, ME",04-14-2023,$3.500.00,7500LB 3 Uhaul BOX,
6057098,"Reno, NV","Jessup, MD",04/12/2023 @ 0800-15,"$4,300.00","18plt/ 18,748 lb",
1563035,"Modesto, CA","Bloomfield, CT",4/13 @1500,"$5,650.00","24plt/ 32,880 Lb",
101148,"San Jose, CA","Vandalia, OH",4/13/23 Before 5pm,"$4,400.00","8plts 4,000lbs",
28983836,"Newark, CA","London, OH",4/13/23 06:00 - 17:0,"$3,950.00","9plts 2,885lbs",
03-5666592,HANFORD CA,BATAVIA IL,04/13/2023 7:00,$3.500.00,11 PLT  12.029 LB,
13063,"Modesto, CA","Bloomfield, CT",4/13 @1400,"$5,200.00","24plt/ 25,120 Lb",
28882693,"Lathrop, CA","Center Valley, PA",4/11/2023 12:00-13:0,"$4,300.00","6plts 11,595lbs",
60104841596,"Hayward, CA","Fairfield, OH",4/11 @1500,"$3,500.00","22plt/ 24,896Lb",
1593572,PATTERSON CA,NORCROSS GA,04/11/2023 0600,"$3,200.00",15plt/ 20.640 LB,
28916652,"Watsonville, CA","Savannah, GA",4/11/2023 16:00,"$3,900.00","14plts 26,712lbs",
1398348,"Reno,NV","ORLANDO, FL",4/11/2023 9:00:00 - ,$4.500.00,23 plt/ 19.200LB,
53368439,WOODLAND CA,SUMMERVILLE SC ++ CHARLOTTE NC,04/12/2023 10:00,$5.300.00,59plt/ 11.800 LB,
15452,"Watsonville, CA","Fort Polk, LA",4/11/23 Before 2pm!!,"$3,800.00","24plts 29,520lbs",
431194573,"Sacramento, CA","Suwanee, GA",04/14/2023,"$4,400.00","82 AC Units  11,850 lb",
28981731,"American Canyon, CA","Gibsonton, FL",4/14/23 08:00-15:00,"$5,000.00","19plts/ 32,047lbs",
6055926,"Hayward, CA","Alachua, FL",04/13/2023 @ 1400,"$3,850.00","8plt/ 8,400 lb",
# 0109250,"Hayward, CA","JACKSONVILLE, FL",04/12/2023 @ 0800-15,"$4,200.00","15 PLT /6,170 lb",
#0140431,"Gilroy, CA","Atlanta, GA",4/13/23 08:00-12:00p,"$4,200.00","15plt/ 19,590lbs",
28967554,"American Canyon, CA","West Columbia, SC",4/14/23 08:00-12:30,"$4,015.78","19plt/ 26,800lbs",
28974619,"American Canyon, CA","Pensacola, FL",04/14/2023 8AM - 15:,$3.900.00,12Plt/ 24.923 LB,
458640,"RENO, NV","KANSAS CITY, MO",04/14/2023 7:00 AM,$3.000.00,"2 crates 1,500 Lb",
3183346,"Lost Hills, CA","Miami, FL",04/14/2023 @ 1000,"$5,600.00","42plt/ 38,500 lb",
4169576,"BENICIA, CA","DORAVILLE, GA** ATLANTA, GA **",04-14-2023 14:00 - 1,$5.800.00,44.000LB,
1068738,"FRESNO, CA","PUKWANA, SD",04/12/2023,"$2,200.00","5 pallets 1,300 lb",
43101094,"LOS BANOS, CA","BRAINERD, MN",04/14/23 6:00AM - 16,$3.000.00,27plt/ 39.000LB,
SPT-244706,"Sparks, NV","Hanover, MD",04/20/2023,"$5,000.00","11,,040 Lb",SPT
432604941,"Firebaugh, CA","Baltimore, MD",4/14/23 11:00 AM,"$4,040.00","21plts 21,443",
29002677,"Madera, CA","Midlothian, VA",4/17/23 - 4/18/23 07,"$3,828.64","10plts 16,406lbs",
29008655,"Sparks, NV","Englewood, CO",4/17/23 12:00-14:00,"$1,800.00","5plts 2,542lbs",
3184327,"Lost HIlls, CA","Middleboro, MA",4/19/23 9:00,"$5,300.00","44plts 33,456lbs",
53439340,"Watsonville, CA","Bethlehem, PA",4/19/23 13:00,"$4,800.00","22plts 40,978lbs (1863)",
1225584,STOCKTON CA,HANOVER PA,04/19/23 @ 07:00,$4.700.00,"30 PLT 16,687 LB",
53495037,WOODLAND CA,YORK PA,4/18/2023-4/19/23  8,$5.199.00,"22 PLT 28,300LB",
1069001,"FRESNO, CA","LAWRENCE, PA MT VERNON, NY",04/19/23,$5.125.00,"PA 14plt/ NY 1 plt 12,627 LB",
29008764,"Sparks, NV","Aurora, CO",04/18/2023 12-14:00,$1.900.00,"7PLT  4,653LB",
#15058,"Ripon, CA","CRANBURY, NJ",4/19/2023 @ 10pm,"$5,600.00","25palets/ 37,784 lbs",
748930,"Benicia, CA","Ashland, VA",4/19/23 07:00-15:00,"$4,300.00","18plts 10,125lbs",
#14660,"Ripon, CA","CRANBURY, NJ",4/19@9pm,"$5,600.00","30palets/ 41,784 lbs",
#2395176-1,"San Jose, CA,","Copiague, NY Woonsocket, RI,",4/20/2023 0800-1630,$6.000.00,8PC 2.000LB,
4077986,"American Canyon, CA","Carlisle, PA",04/20/2023,"$5,500.00","28 pallets 34,320 lb",
29038162,"Watsonville, CA","North Haven, CT",4/20/23 11:00 AM,"$3,500.00",3plts 5.400LB,
2000770624,"West Sacramento, CA","YORK, PA",04/20/2023 8:00,$4.200.00,18 PLT 31528 LB,
539542,"American Canyon, CA","NORTH BERGEN, NJ",04/21/2023 @1000,"$4,700.00","22plt/ 12,120 Lb",
7744100,"Chico, CA","Nazareth, PA",4/20/23 08:00-14:00,"$2,250.00 $2,250.00","10plts 21,500bs",
53544100,"Sparks, NV","Altavista, VA",4/20/23 12:00,"$3,600.00",1plts 273lbs,
29047640,"Newark, CA","Columbus, OH",04/21/2023,"$4,000.00","16 pallets 8,850 lb",
1069009,"FRESNO, CA","CENTERVILLE, TN /  5plt PATCHOGUE, NY (10plt Blue rap )",4/21 @1100,"$5,060.00","15plt/ 8,715 Lb",
29005694,"American Canyon, CA","Washington, DC",4/21/2023,"$4,119.76","11plts 19,619lbs",
NVK,"Sacramento, CA","New Cumberland, PA",04/21/2023,$500.00,2 plt 5klb,NVK
29042347,"Milpitas, CA","Plainfield, IN",04/20/2023  08:00 - ,$3.100.00,"11plt/ 10,920",
29001322,"Watsonville, CA","West Jefferson, OH",04/18/2023 11:00 AM,"$3,100.00",8PLT 13.779LB,
53473144,FERNLEY NV,HURON OH,4/20/2023 8:00:00 - ,$3.500.00,"24 plt 24,960 Lb",
53473143,FERNLEY NV,HURON OH,4/20/2023 8:00:00 -1,$3.500.00,"29 PLT 36,303 Lb",
7952033,"CHICO,CA","CLAYTON, IN",4/21/2023 @14:00:00,"$3,300.00","13plt/ 5,621 lb",
#0168601**,HAYWARD,GA_FL,4/20/2023 14:00,$5.100.00,"54plt/ 22,500LB",
29030412,"American Canyon, CA","West Columbia, SC",4/21/23 08:00-15:00,"$4,000.00","14plts 30,395lbs",
34-23040349-0,"SOUTH SAN FRANCISCO, CA","MCDONOUGH, GA",4/24 @0800-1100,"$5,000.00","15 plt/ 16,803 Lb",
29038904***,Sparks. NV,"Anderson, SC",4/20/23 12:00-14:00,"$4,000.00","22plts/ 21,200 Lb",
YJH-WWKG,"Rancho Cordova, CA","Summerville, SC",04/21/2023 @ 1400-16,"$4,000.00","9 pallets 5,485 lb",YJH WWKG
29042425,"Sparks, NV","Fort Worth, TX",4/20/23 15:00,"$3,000.00","20plts 9,040lbs",
459612,"RENO, NV","LAKEPORT, CA",04/25/2023 08:00-14:,$3.000.00,08:00-08:00,
1517588,SPARKS NV,SOMERSET NJ,04/26/2023 @ 1200,$150.00,"26 pallets 28,401 lb",
3111128,"Sacramento, CA","Rustburg, VA",04/24/2023 @ 1400,"$4,600.00","11 PLT 18,119 lb",
29065645,"Gilroy, CA","King of Prussia, PA",04/25/2023  9:00Am-1,"$4,048.95","25plt/ 7,160LB",
#0110584,"Stockton, CA","Hanover, PA",4/26 @0800,"$5,000.00","30plt/ 20,100 Lb",
1570004,"Huron, CA","West Haven, CT",4/24 @1430,"$5,200.00","13 bins/ 37,700 Lb",
53577892,WOODLAND CA,YORK PA,4/25/2023 8:00:00 14,$5.199.00,21 PLT  28770 LB,
1069206,"FRESNO, CA","AURORA, IL INDIANAPOLIS, IN CAPITOL HEIGHTS, MD",4/26 @by1400,"$5,500.00","18pcs/ 12,745 Lb",
#0502446,BRISBANE CA,FAIRLESS HILLS PA,4/27 @0800-1500,"$4,200.00","26 PLT 9,200 Lb",
29065394,"Turlock, CA","Dunmore, PA",04/26/2023 11:00-12:,"$4,250.00","26pl/ 29,586 LB",
1739289,"SOUTH SAN FRANCISCO, CA","HANOVER, MD",04/27/2023 11:00 AM,$5.800.00,7000LB,
29053170,"American Canyon, CA","Ashland, VA",04/27/2023 8:00-15:0,"$4,200.00","20 PLT 27,200 LB",
1069134,"FIREBAUGH, CA","EDISON, NJ",4/27 @1000,"$4,800.00","26plt/ 24,580 Lb",
541865,"Windsor, CA","Moorestown, NJ",04/27/2023 12:00,$4.700.00,"21 PLT 38,000 Lb",
141228,"Reno, NV","Franklin, MA",04/27/2023 07:00  to,$5.000.00,"6touts/ 26,285 Lb",
141227,"Reno, NV","Franklin, MA",04/27/2023 07:00  to,$5.000.00,"5 PLT 22,595 LB",
4109295,"Reno, NV","Hunt Valley, MD","Apr 27, 2023 By 3PM","$4,100.00",26 PLT 6.000LB,
#003785322,"San Leandro, CA","Transfer, PA",4/26 @by1400,"$4,700.00","17plt/ 30,576 Lb",
OSW162358,"SPARKS, NV","CHAMBERSBURG, PA",4/27 @1200,"$4,900.00","35plt/ 23,000 Lb",OSW
2128173,"OROVILLE, CA","CAMP HILL, PA",4/27 @1200,"$4,300.00","26plt/ 27,299 Lb",
#31429-42689,"Reno, NV","Upper Marlboro, MD",4/27 @1300,"$5,100.00",1 pallet 150 Lb,
800774624,"Newman, CA","Myerstown, PA",4/27 @1300-1700,"$4,800.00","9plt/ 20,976 Lb",
1069028,"FIREBAUGH, CA","LEBANON, PA WEST CALDWELL, NJ BOHEMIA, NY",4/28 @1100,"$6,000.00","17plt/ 29,349 Lb",
23413,"Sacramento, CA","Danville, KY",04/28/2023 @ 1700-19,"$5,000.00","4 pallets 6,000 Lb",
4176594,"BENICIA, CA","DORAVILLE, GA ELKRIDGE, MD",04-28-2023 13:00 - 1,"$7,400.00","38,000 Lb",
53646874,ROCKLIN CA,CAPITOL HEIGHTS MD,4/28/2023 7:00:00 -1,"$4,800.00",15 Crates 6733LB,
29075639,"American Canyon, CA","Raleigh, NC",04/28/2023  08:00 - ,"$4,600.00","3 PLT 4,361 LB",
SL212646753,"MINDEN, NV","DUBLIN, GA",04/26/2023 16:00,$3.999.00,15plt/ 9.216LB,
29090772,"American Canyon, CA","Gibsonton, FL",04/28/2023 08:00 - 1,$5.000.00,15 PLT 22.305 LB,
23412,"Sacramento, CA","Danville, KY",04/28/2023 @ 1700-19,"$5,000.00","21 pallets 6,000 Lb",
29085831,"American Canyon, CA","Mills River, NC Colfax, NC",04/28/2023 @0800-150,"$4,300.00","13plt/ 18,657 Lb",
29085834,"American Canyon, CA","Gibsonton, FL",04/28/2023  08:00 - ,$5.000.00,15 PLT 16875 LB,
RRD0010168686,"Visalia, CA","CHARLOTTE, NC",4/25 @0700-1500,"$4,200.00","10plt/ 11,467 Lb",RRD
LDS14250171,"Berkeley, CA","Norcross, GA",4/24 @1600,"$3,600.00","13plt/ 9,500 Lb",LDS
#0111543,FALLON NV,JACKSONVILLE FL,4/26 @0730,"$5,400.00","30pcs/ 11,500 Lb",
29005682,"American Canyon, CA","Austell, GA",04/26/2023 @0800-140,"$4,100.00","18plt/ 38,332 Lb",
53657108,"Gilroy, CA","Burlington, NJ",5/2/23 12:00 PM,"$4,500.00","37plts 31,872 bs",
11949,San Bruno CA,"Suitland, MD",5/1/2023 8:00:00 15:,$5.200.00,8 PLT 11.000LB,
1584591,"Reno, NV","Stratford, CT",5/3 @0800-1000,"$5,350.00","12plt/ 2,400 Lb",
53698491,"Lathrop, CA","Wilmington, DE",5/1/23 08:00-16:00,"$5,000.00","24plts 23,030lbs",
138112,"STOCKTON, CA","CHEYENNE, WY**  BALTIMORE, MD",05/03/2023,"$5,000.00","20 crates12,974 lb",
86949,"CLOVERDALE, CA","RONKONKOMA, NY",05/01/2023 13:00,"$5,800.00","20plt/ 41,328 Lb",
2132874,"ALAMEDA, CA","CARTERET, NJ",05/03/2023 @ 1100,"$5,600.00","138 bags / 25, 712 lb",
55537770,"Alameda, CA","Moorestown, NJ",5/2/23 18:00,"$4,800.00","10plt/ 10,610 Lb",
2135609,"Terra Bella, CA","Center Valley, PA",5/4/23 11:00 AM,"$5,000.00","22plts 23,025lbs",
4134001,"San Carlos, CA","Roanoke, VA",5/4/2023 8AM - 5PM,$4.550.00,24PLT 18.000LB,
6581971,"MODESTO, CA","York, PA",05/04/2023,"$4,650.00","40plt/ 17,418 lb",
1610395,PATTERSON CA,SYRACUSE NY,5/3 @1100-1300,"$4,400.00","24plts 25,350 Lb",
434688169,"Fernley, NV","Bow , NH",5/4/2023 07:00 - 15:,"$4,466.00","23plt/ 21,500 Lb",
31462-09403,"Sacramento, CA","South Brunswick Township, NJ",5/4 @1700,"$4,900.00","6plt/ 10,200 Lb",
55545521,"Newark, CA","Laurel, MD",5/4/23 10:00-16:00,"$4,800.00","52plt/ 18,951lbs",
53661663,WOODLAND CA,YORK PA,5/2/2023 8:00:00 - 1,"$5,172.00","21PLT 38,510",
23437,"Sacramento, CA","Danville, KY",5/2/23 5-7pm,"$5,000.00","17plts 2,800lbs",
USBee,"Santa Rosa, CA","Hanover, MD",5/5/23 11:00 AM,"$4,336.00",14plts 28.000lbs,USBee
31488-16438,"Sacramento, CA","Orange, CT",5/5/2023 19:00,$4.500.00,"12 PLT 20,400LB",
B182180,MODESTO CA,NORTH BERGEN NJ,5/5 @1200,"$4,800.00","5plt/ 7,500 Lb",
LD129327,"Reno, NV","Ashville, OH",05/04/2023 2:00 PM,"$4,000.00","13plt/ 13,571 lb",
29137059,"Healdsburg, CA",Romulus MI,05/05/2023 @ 0900-14,$3.287.00,"2 pallets 2,820 lb",
24211372,"San Leandro, CA","Holliston, MA  Londonderry, NH",5/5/2023  Appt 10:00,$7.700.00,"38,349 LB",
3122674,"Oroville, CA","Camp Hill, PA",5/5/2023 12:00,"$4,588.00","26 plt  27,299 LB",
60105005567,"Reno, NV","ALPHARETTA, GA","May 4, 2023 09:00 - ",$4.000.00,29 Pallet(s) 11.600LB,
4180747,"SALINAS, CA","WINDER, GA",05-04-2023 08:00 - 1,"$4,300.00","20plt/ 34,571 Lb",
3115580-3126487,"Newark, CA","Pulaski, TN",5/5/2023 15:00,"$3,800.00","9 PLT 22,546 Lb",
3117874,"Pittsburg, CA","Lake Buena Vista, FL",5/4 @0900-1500,"$4,997.00","18plt/ 6,373 Lb",
29082023,"American Canyon, CA","Apex, NC/Raleigh, NC",5/3/23 08:00-15:00,"$4,500.00","14plts 29,333lbs",
6555,"Richmond, CA","Coconut Creek, FL",5/3 @1300,"$4,150.00","7,500Lb",
29085830,"American Canyon, CA","West Columbia, SC",5/3/23 08:00-15:00,"$4,200.00","15plts 28,415lbs",
29091387,"American Canyon, CA","West Columbia, SC",5/2/23 08:00-15:00,"$4,100.00",10plts 10.126lbs,
USBee,"Petaluma, CA","Durham, NC",5/2/23 08:00-15:00,"$5,000.00","5plts 2,000lbs",USBee
16141,"Tracy, CA","Fort Novosel, AL",5/3/23 12:00 PM,"$4,300.00","9plts 15,210lbs",
29163219,"Newark, CA","Columbus, OH",5/10/23 16:00,"$4,000.00","19plts 16,755lbs",
55553278,"Newark, CA","Norwood, MA",5/9/23 07:00-18:00,"$5,400.00","45plts 16,547lbs Coffee",
29114192,"American Canyon, CA","Jacksonville, FL",5/9/23 08:00-15:00,"$4,500.00","17plts 32,839lbs",
4140077,"American canyon ,CA","Carlisle,PA",5/9/2023 14:00,$6.200.00,"28 PLT 35,482 LB",
13131503,"Chico, CA","Greencastle, PA",5/8 @0800-1200,"$4,600.00","16 PC 4,000LB 94x48x48",
7982711,"SALINAS,CA","SPARROWS POINT, MD",5/10/2023 @9:00:00,"$4,900.00","16plt/ 24,432 Lb",
130814,"Modesto, CA","Carlisle, PA",05/08/2023 @1200,"$4,500.00","18 pallets 7,924 lb",
545998,"AMERICAN CANYON, CA","North Bergen, NJ",05/12/2023 10:00 AM,$5.000.00,"19 PLT 32,903 LB",
138192,"STOCKTON, CA","WEST SAYVILLE, NY KITTERY, ME",5/10 @0800-1600,"$6,400.00","20plt/ 6,682 Lb",
29121246,"American Canyon, CA","Ashland, VA",5/11/23 08:00-15:00,"$4,400.00","15plts 29,149lbs",
29154662,"Reno, NV","Columbia, MD",5/11/23 13:00,"$4,500.00","25plts 12,000lbs",
546002,"Ameican Canyon, CA","North Bergen, NJ",05/12/2023 11:00 AM,$5.000.00,"18 PLT 32,300LB",
29126711,"Sand City, CA","Newport, RI",05/09/2023 8:00-15:0,"$5,400.00","8,200 Lb",
#0307606,"SAN FRANCISSCO, CA","Manassas, VA",5/10 @0800-1200,"$4,700.00","18plt/ 12,430 Lb",
29136871,"Ameican Canyon, CA","Ashland, VA",05/12/2023  08:00 - ,"$4,385.00","20 PLT 27,240 LB",
7979581,"SPARKS,NV","VAN BUREN TOWNSHIP, MI",5/11 @1200,"$3,900.00","60 plt/ 4,680Lb",
1069662,"FIREBAUGH, CA","EDISON, NJ",05/12/2023 @ 1300,"$4,800.00","26 pallets 27,222 lb",
SL212730561,"SPARKS, NV","HAGERSTOWN, MD",5/10 @1000,"$4,800.00","18plt/ 10,000 Lb",
29140003,"Reno, NV","Chillicothe, OH/ Athens, OH***",5/9/23 FCFS 08:00-18,"$2,200.00","2plts 1,141lbs",
#0506769,"SAN LORENZO, CA VINA, CA",SAXONBURG PA,5/12 @0900 5/12 @130,"$4,900.00","11plt/ 15,000 Lb",
355381,RENO NV,CEDAR FALLS IA,5/12 @0830,"$3,800.00",2plt/ 525 Lb,
53822120,"Stockton, CA","Erie, PA",5/12/23 10:00 AM,"$4,250.00","30plts 23,388lbs",
29114193,"American Canyon, CA","Wilmington, NC",05/09/2023 8:00-15:0,"$4,384.00","13 PLT 27,372 LB",
115772903,"SAN FRANCISCO, CA","PLANT CITY, FL",05/10/2023 @ 0800-10,"$5,500.00","31 pcs 6,422 lb",
355380,RENO NV,DENTON TX,05/10/2023 @ 1230,"$4,030.00","3 pallets 1,500 lb",
4156756,"Reno, NV","Orlando, FL",5/10/23 FCFS Before ,"$4,000.00","17plts 2,312lbs",
29095106,"Watsonville, CA","Savannah, GA",5/10/23 14:00,"$3,900.00","13plts 24,840lbs",
7756575,"Visalia, CA","Hinckley, OH",5/9 @1000,"$4,050.00","22plt/ 7,981 Lb",
29146296,"American Canyon, CA","West Columbia, SC",5/12/23 08:00-15:00,"$4,300.00","18plts 33,475lbs",
29121226,"Ameican Canyon, CA","Gibsonton, FL",5/11/23 08:00-15:00,"$5,000.00","20plts 22,320lbs",
29121249,"American Canyon, CA","Gibsonton, FL",5/11/23 08:00 -15:00,$5.000.00,"20plts 26,448bs",
USBEE,"Stockton, CA","Antioch, TN",5/11/23 08:00-16:00,"$3,700.00","8plts 8,155lbs",USBEE
29154363,"American Canyon, CA","Nashville, TN",5/12/23 08:00-15:00,"$3,500.00","10plts 20,908lbs",
29136875,"American Canyon, CA","West Columbia, SC",5/12/23 08:00-15:00,"$4,300.00","20plts 27,240lbs",
29121229,"Ameican Canyon, CA","Gibsonton, FL",05/12/2023 08:00 - 1,$5.000.00,"20 PLT 35,257 LB",
# 0008 - 00180123,"MILPITAS, CA","REDMOND, WA",05/12/2023 9:00 AM,"$4,800.00",30.000LB,
0008 - 00180128,"PORTLAND, OR","FREMONT, CA",05/15/2023 2:00 PM,$2.000.00,30.000LB,
03-5753510,"LEMOORE, CA","BATAVIA, IL",5/15/2023 8:00:00-14,$3.300.00,2plt/ 4.400 LB,
53826219,FERNLEY NV,HURON OH,5/15/2023 8:00:00 - ,$3.500.00,"24 PC 24,960 LB",
1069712,"EXETER, CA","RICHMOND, MI",5/15 @1200,"$3,600.00","10plt/ 12,636 Lb",
#0175231,"Gilroy,CA","Ayer,MA",5/16/2023 1100,$8.500.00,28plts/ 25.000LB,
9400005216,"SAN JOSE, CA","KEARNEYSVILLE, WV",5/16 @1300,"$7,000.00","13plt/ 3,774 Lb",
55564419,"Newark, CA","Uxbridge, MA",5/16/23 08:00-14:00,"$5,400.00","52 plt/ 16,578lbs",
#0013141,LODI CA,BEDFORD PA,5/17 @0700-1500,"$7,800.00","38,000 Lb",
87136,"FAIRFIELD, CA","RONKONKOMA, NY",05/12/2023 11:00,"$5,800.00","20 Pallets/ 42,319 LBS",
29171111,"American Canyon, CA","Ashland, VA",5/17/23 08:00-17:00,"$4,200.00","20plts 27,120bs",
53865291,"Rocklin, CA","Capitol Heights, MD",5/16/23 - 5/17/23 07,"$4,900.00","16 crts 6,649lbs",
29190049,"Visalia, CA","Fort Worth, TX",5/16/23 07:00-15:00,"$3,500.00","24plts 29,963lbs",
