Load #,Origin,Destination,PU Date,Rate,Weight \ pallet count \ FT,Broker
133624108***,"RENO, NV","VAN BUREN, OH",7/8 12-16:00,"$6,500.00",3plt/ 2318 lbs,
6749738***,"NEWARK,CA Gilroy, CA","HUNT VALLEY,MD *** ROSEDALE,MD ***",7/9 @0830 1200,"$9,000.00",36900 Lb,
nan,"Sacramento, CA",NJ,nan,?,nan,
760432***,"FIREBAUGH, CA","INDEPENDENCE, MO",07/07/2021 13:00,"$5,300.00","15plt/ 19,370 Lb",
760434***,"FIREBAUGH, CA","INDEPENDENCE, MO",07/8 @1300,"$5,200.00",26 plt / 18170 lb spices,
762223***,"FIREBAUGH, CA","INDEPENDENCE, MO",07/09/2021 15:00,"$5,500.00",26 plt / 18170 lb spices,
760433***,"FIREBAUGH, CA","INDEPENDENCE, MO",07/09/2021 16:00,"$5,025.00",26 plt / 18170 lb spices,
7730028523***,"HOPLAND, CA","MADISON, MS",7/08 @1200,"$7,200.00","8 plt/ 16,515 Lb",
22004800***,RENO NV,MIDLAND TX,7/9 @ready now,"$4,500.00","8 long plkt/ 7,500 Lb",
10392824***,"Visalia, CA","Carrollton, TX",7/9 @1000,$150.00,"19plt/ 19,030lb",
#361839986***,"Manteca, CA","ALBANY, OR",7/10@7am,"$2,500.00",10pl/16926 lbs,
10422006****,"Firebaugh, CA","Carrollton, TX",7/12@10am,"$4,500.00","34plt/  43,500Lb",
3703452***,"OLIVEHURST, CA","SAN ANTONIO, TX",7/12/2021 14:00,"$5,100.00","10 plt / 21,400 lb walnuts",
BG357278711***,"Union City, CA","Garland, TX",7/16/2021 @1:30 - 4:,"$5,100.00","26 pallets 14,040lb",
LD21534SH***,"Fairfield, CA","SECAUCUS, NJ** NORTH HAVEN, CT**",7/14 @1200,"$9,100.00","10plt/  20,700 Lb",LD SH
23931837***,"Manteca, CA","Perryville, MD",7/14 - 7/15/2021 09:,"$8,000.00","30 pallets 24,441lb",
10099936***,"Fairfield, CA","Newark, NJ",7/14 @1600,"$10,100.00","40,000Lb",
45301649***,MODESTO CA,CARNEYS POINT NJ,7/13/2021 @13:00:00,"$8,075.00","26 plt/ 5,006 lb",
1047468***,"FRESNO, CA","MOUNTAINSIDE, NJ",7/13 @,"$8,000.00","13plt/ 17,430 Lb",
23902450**,"Sparks, NV","Hazelton, PA",7/14/2021 by 3pm,"$7,800.00","14-28 double stacked pallets  23,156lb V",
23892163***,"Vacaville, CA","Taylor, PA",7/15@1230,"$7,400.00","26plts/ 8,866 Lb",
23923131***,"Manteca, CA","Middletown, NY",7/14 @0500-1600,"$7,700.00","17plt/ 12,000 Lb",
4586343***,"YOUNTVILLE, CA","N BERGEN, NJ",7/14 @0900,"$8,800.00","22plt/ 40,100 Lb",
T2410291***,HAYWARD CA,TOMS RIVER NJ,7/14/2021 13:00,"$7,600.00","12 plt/ 5,617 lb store fixtures",
1047433***,"TURLOCK, CA","ELYRIA, OH",7/15 @1300,"$6,800.00","6plt/ 5,214 Lb",
1047320***,"MODESTO, CA","ROSEDALE, MD",7/12/2021 14:00,"$8,000.00","15 plt/ 28,200 lb",
345461***,"American Canyon, CA","Glen Rock, NJ",7/15/2021  @1300,"$9,800.00","20plt/ 42,100 Lb",
346609***,"Modesto, CA","Milford, CT",7/16/2021 8:00,"$10,600.00","19plt/ 41,000 LB Alcohol",
NWI42339****,"TRACY, CA","SCOTTSVILLE, NY",7/16/2021 8:00 A.M.,"$7,500.00","19 PLT/ 5,078 LB FAK military",NWI
45361869***,SANGER CA,HARRISBURG PA,07/16/2021 13:00,"$8,000.00","16plt/ 25,650 Lb",
Sasha,"Sacramento,CA","Cleveland ,OH",nan,"$1,000.00",1 ct,Sasha
771451***,"San Lorenzo, CA","Ofallon, MO",7/16 @1300,"$6,000.00",10plt/ 23040 Lb,
770643***,"FIREBAUGH, CA","INDEPENDENCE, MO",7/16 @1400,"$5,425.00",26 plt / 18170 lb spices,
772609***,"FIREBAUGH, CA","INDEPENDENCE, MO",7/19 @8am,"$5,500.00",26 plt / 18170 lb spices,
772607***,"FIREBAUGH, CA","INDEPENDENCE, MO",7/19 @1200,"$5,500.00",26 plt / 18170 lb spices,
63C-Z73X***,"Oakland, CA","Carteret, NJ",7/19 @0700-1300,"$8,175.00","14plt/ 22,000 Lb Coffee Bags/ Floor Load",C Z X
775514***,"FIREBAUGH, CA","INDEPENDENCE, MO",7/21 @1030,"$5,500.00",26 plt / 18170 lb spices,
13711***,GILROY CA,HUNT VALLEY MD,7/21 @1300,"$7,700.00","20plts/ 27,892 Lb",
1047306***,"RICHVALE, CA","BLOOMFIELD, CT",07/19/21,"$8,500.00","24 plt/ 13,632 lb",
10634070***,"OAKLAND, CA","CARLSTADT, NJ",7/20 @1300,"$8,400.00","15plt/ 16,215 lb",
23996514***,"Reno, NV","Somerset, NJ",7/21/2021 8-16:00,"$6,800.00","26 plt/ 23,000 lb",
45467932,WOODLAND CA,BLOOMFIELD CT,07/22/2021 9:00,"$8,500.00",15 pallets 40klb,
3009098***,"Tracy, CA","Dayville, CT",7/20 @by1630,"$8,100.00","34plts/ 8,398lbs.",
1047308***,"RICHVALE, CA","NAZARETH, PA",7/19/2021,"$8,000.00","24 plt/ 13,632 lb",
6769284***,"GILROY,CA","Belcamp, MD  Rosedale, MD",7/20 @0700,"$8,500.00","22plt/ 13,970 Lb",
